Time,Names,Frame_idx,Bboxes,Emotion
31.04,"['Unknown']",776,"[[0.8117259570530483, 0.26241090562608504, 0.9374175071716309, 0.6691565740676153]]","[['glow', 'mystery', 'danger', 'care', 'love', 'hope']]"
31.24,"[]",781,"[]","[]"
31.44,"[]",786,"[]","[]"
31.64,"[]",791,"[]","[]"
32.04,"[]",801,"[]","[]"
32.24,"[]",806,"[]","[]"
32.44,"[]",811,"[]","[]"
32.64,"[]",816,"[]","[]"
33.04,"[]",826,"[]","[]"
33.24,"[]",831,"[]","[]"
33.44,"[]",836,"[]","[]"
33.64,"[]",841,"[]","[]"
34.04,"[]",851,"[]","[]"
34.24,"['Unknown']",856,"[[0.5421828542436872, 0.3821296994648283, 0.5801684515816825, 0.4746602073548332]]","[['criminal', 'murder', 'danger', 'fear', 'death', 'love']]"
34.44,"['Unknown']",861,"[[0.5380682945251465, 0.37665909055679564, 0.574648244040353, 0.4667154039655413]]","[['criminal', 'murder', 'danger', 'death', 'addiction', 'fraud']]"
34.64,"['Unknown']",866,"[[0.5362785543714251, 0.37025082300579737, 0.5721037047249931, 0.4524404737684462]]","[['glow', 'happy', 'love', 'holiday', 'disease', 'success']]"
35.04,"['Unknown']",876,"[[0.5373424121311733, 0.37099605136447483, 0.5769789559500558, 0.45845964219835067]]","[['glow', 'happy', 'fantasy', 'love', 'magical', 'holiday']]"
35.24,"['Unknown']",881,"[[0.5466792583465576, 0.36428938971625435, 0.5834437779017857, 0.4522085946703714]]","[['addiction', 'fear', 'fun', 'sorrowful', 'danger', 'sad']]"
35.44,"['Unknown']",886,"[[0.5606641088213239, 0.3091744619702536, 0.6041112627301898, 0.41252635774158297]]","[['criminal', 'faith', 'love', 'violence', 'danger', 'fear']]"
35.64,"[]",891,"[]","[]"
36.04,"['ĐÔNG NHI']",901,"[[0.5541272844587054, 0.36588266160753036, 0.5914342062813895, 0.4489426991296193]]","[['love', 'sad', 'happy', 'fear', 'sorrowful', 'dreads']]"
36.24,"['Unknown']",906,"[[0.5674913951328823, 0.3569344717358786, 0.6065128871372768, 0.4445137145027282]]","[['happy', 'love', 'fun', 'smile', 'celebration', 'smiling']]"
36.44,"['Unknown']",911,"[[0.5822375161307198, 0.33099268353174605, 0.6285453523908343, 0.43490652054075213]]","[['glow', 'fantasy', 'mystical', 'mystery', 'magical', 'love']]"
36.64,"[]",916,"[]","[]"
37.04,"['Unknown']",926,"[[0.04077108842985971, 0.44652781410822795, 0.1967285020010812, 0.6381692432221913]]","[['glow', 'horror', 'halloween', 'festival', 'fantasy', 'danger']]"
