Time,Names,Frame_idx,Bboxes,Emotion
13.04,"['Son Tung', 'Unknown', 'Unknown']",326,"[[0.2937000274658203, 0.09570115804672241, 0.39931316375732423, 0.3817299842834473], [0.760317039489746, 0.19773102998733522, 0.8449878692626953, 0.44209723472595214], [0.948579978942871, 0.25305497646331787, 0.999178123474121, 0.3915446996688843]]","[['pride', 'faithful', 'fantasy', 'protest', 'halloween', 'mysterious'], ['faithful', 'happy', 'criminal', 'corruption', 'smile', 'smiling'], ['criminal', 'murder', 'corruption', 'suspect', 'danger', 'violence']]"
13.24,"['Son Tung', 'Unknown', 'Unknown']",331,"[[0.3382272481918335, 0.1257949948310852, 0.4425711154937744, 0.3998786211013794], [0.7558168888092041, 0.20319275856018065, 0.8416648864746094, 0.4356816291809082], [0.9621923446655274, 0.26401734352111816, 1.0023218154907227, 0.38132739067077637]]","[['halloween', 'serious', 'mystery', 'fantasy', 'evil', 'criminal'], ['faithful', 'happy', 'celebration', 'protest', 'smile', 'corruption'], ['criminal', 'corruption', 'success', 'fraud', 'murder', 'danger']]"
13.44,"['Son Tung', 'Unknown', 'Unknown']",336,"[[0.36099674701690676, 0.141030216217041, 0.4655519962310791, 0.41857128143310546], [0.7376563549041748, 0.21282689571380614, 0.8235136032104492, 0.433742094039917], [0.9555550575256347, 0.2662341594696045, 1.0005464553833008, 0.3920130252838135]]","[['serious', 'evil', 'halloween', 'angry', 'criminal', 'celebration'], ['happy', 'celebration', 'fun', 'smiling', 'cheerful', 'smile'], ['criminal', 'corruption', 'fraud', 'success', 'danger', 'murder']]"
13.64,"['Son Tung', 'Unknown', 'Unknown']",341,"[[0.3632471799850464, 0.11867244243621826, 0.47334880828857423, 0.4072705268859863], [0.7254844665527344, 0.2447195291519165, 0.8013828277587891, 0.43958349227905275], [0.9394804000854492, 0.2824604034423828, 0.9864182472229004, 0.3965975284576416]]","[['serious', 'stern', 'halloween', 'unsmiling', 'mystery', 'evil'], ['faithful', 'celebration', 'pray', 'corruption', 'blessing', 'festival'], ['criminal', 'corruption', 'murder', 'danger', 'success', 'violence']]"
14.04,"['Son Tung', 'Unknown', 'Unknown']",351,"[[0.2896640539169312, 0.05555413961410523, 0.39915056228637696, 0.33893024921417236], [0.884912109375, 0.31999850273132324, 0.9611873626708984, 0.5314449787139892], [0.6908236503601074, 0.24911770820617676, 0.7613727569580078, 0.4366400718688965]]","[['fantasy', 'criminal', 'serious', 'pride', 'war', 'brave'], ['criminal', 'addiction', 'danger', 'sad', 'murder', 'fear'], ['abuse', 'addiction', 'criminal', 'addict', 'fun', 'happy']]"
14.24,"['Son Tung', 'Unknown', 'Unknown']",356,"[[0.23959701061248778, 0.047025397419929504, 0.35577681064605715, 0.35233445167541505], [0.828223705291748, 0.33127057552337646, 0.8937429428100586, 0.5122907638549805], [0.6751497268676758, 0.2361845016479492, 0.740732479095459, 0.42619776725769043]]","[['halloween', 'fantasy', 'serious', 'evil', 'protest', 'horror'], ['murder', 'criminal', 'danger', 'sad', 'addiction', 'mad'], ['criminal', 'murder', 'corruption', 'abuse', 'faithful', 'death']]"
14.44,"['Son Tung', 'Unknown', 'Unknown']",361,"[[0.21219894886016846, 0.049829140305519104, 0.3274942636489868, 0.34498727321624756], [0.7749957084655762, 0.31955766677856445, 0.8371585845947266, 0.5026463508605957], [0.6619528770446778, 0.23696365356445312, 0.7282003402709961, 0.4257544994354248]]","[['protest', 'pride', 'faithful', 'halloween', 'war', 'celebration'], ['murder', 'sad', 'fear', 'criminal', 'danger', 'depression'], ['murder', 'protest', 'faithful', 'criminal', 'torture', 'corruption']]"
14.64,"['Son Tung', 'Unknown', 'Unknown']",366,"[[0.20577552318572997, 0.008221939206123352, 0.32141306400299074, 0.2966733455657959], [0.6522383689880371, 0.24937710762023926, 0.7115728855133057, 0.40694141387939453], [0.7323013305664062, 0.29092719554901125, 0.8162073135375977, 0.4950322151184082]]","[['protest', 'pride', 'criminal', 'halloween', 'faithful', 'freedom'], ['faithful', 'murder', 'criminal', 'corruption', 'defense', 'mad'], ['happy', 'fun', 'criminal', 'danger', 'cheerful', 'murder']]"
15.04,"['Son Tung', 'Unknown', 'Unknown']",376,"[[0.20187482833862305, 0.03597535192966461, 0.31567816734313964, 0.32848620414733887], [0.7669445991516113, 0.08538072109222412, 0.8990094184875488, 0.41298537254333495], [0.07346243858337402, 0.13357837200164796, 0.10761131048202514, 0.22365970611572267]]","[['faithful', 'pride', 'protest', 'halloween', 'celebration', 'fun'], ['happy', 'fun', 'celebration', 'love', 'happiness', 'smile'], ['criminal', 'danger', 'violence', 'punishment', 'addiction', 'problem']]"
15.24,"['Unknown', 'Son Tung', 'Unknown']",381,"[[0.7183942794799805, 0.13892985582351686, 0.8210674285888672, 0.40588626861572263], [0.214866304397583, 0.032044798135757446, 0.32691254615783694, 0.30948481559753416], [0.5650324344635009, 0.07958129048347473, 0.6861047267913818, 0.4364881992340088]]","[['fun', 'happy', 'celebration', 'holiday', 'protest', 'sorrowful'], ['pride', 'protest', 'serious', 'faithful', 'halloween', 'fantasy'], ['happy', 'fun', 'love', 'problem', 'danger', 'addiction']]"
